Plant;Variety;Season;Color;Fruit;Soil;Water;Temperature;Light;Pruning;Fertilizer;Pest
Apple;Granny Smith;Spring;Green;Yes;Loamy;Slight;Mild;Bright;Limited;Compost;Aphids
Basil, Sweet;Summer;Green;Herb;Leaves;Well-drained;Moist;70-80°F;Full Sun;Pinch back;Balanced Fertilizer;Aphids, Fusarium Wilt
Broccoli;Spring;Green;Vegetable;Head;Loamy;Moderate;60-70°F;Full Sun;Do not cut florets;Nitrogen-rich Fertilizer;Cabbage Worms, Downy Mildew
Cabbage;Fall;Purple;Vegetable;Head;Loamy;Moderate;60-70°F;Full Sun;Do not cut core;Nitrogen-rich Fertilizer;Imported Cabbageworm, Black Rot
Pear;Bartlett;Summer;Brown;Yes;Clay;Average;Hot;Moderate;Frequent;Manure;Weevils
Cherry;Rainier;Fall;Red;Yes;Sandy;Heavy;Cool;Low;;Seaweed;Caterpillars
Raspberry;Bountiful;Winter;Magenta;Yes;Arid;Slight;Cold;High;Sparingly;Lime;Mites
Peach;August Pride;Spring;Pale Orange;Yes;Sandy Loam;Heavy;Mild;Bright;Regularly;Fish Emulsion;Worms
Watermelon;Crimson Sweet;Fall;Scarlet;Yes;Alluvial;Average;Cool;Low;Lightly;Dolomite Lime;Sawfly
Grape;Concord;Winter;Crimson;Yes;Peat;Heavy;Cold;High;Prudently;Steamed Bone;Leafhopper
Strawberry;Temptation;Spring;Ruby;Yes;Humus;Slight;Mild;Bright;Heavily;Fish Meal;Thrips
Carrot;Nantes;Summer;Gold;No;Clay Loam;Average;Hot;Moderate;Evenly;Compost Loose;Leafminer
Radish;Cherry Belle;Fall;White;No;Gravelly;Heavy;Cool;Low;Tenderly;Manure Pellets;Grasshopper
Eggplant;Neon;Winter;Purple;No;Loamy;Slight;Cold;High;Gently;Seaweed Extract;Cutworms
Avocado;Hass;Spring;Dark Green;Yes;Alkaline;Average;Mild;Bright;Minimally;Vermicompost;Scale
Cucumber;Lemon;Summer;Yellow;No;Salty;Heavy;Hot;Moderate;Judiciously;BAT Guano;Aphids
Squash;Acorn;Fall;Tan;Yes;Heavy;Slight;Cool;Low;Sparingly;Blood Meal;Mites
Asparagus;Jersey Knight;Winter;Chartreuse;Yes;Sandy;Average;Cold;High;Barely;Compost Tea;Snails
Tomato;Beefsteak;Warm;Red;Fruit;Loamy;Medium;65-85°F;Full Sun;Light;Monthly;White Flies, Spider Mites, Fusarium Wilt
Lettuce;Romaine;Cool;Green;Leaf;Well-drained;Medium;45-75°F;Partial Shade;;Weekly;Aphids, Downy Mildew
Spinach;Space;Cool;Green;Leaf;Rich, Loamy;Medium;45-75°F;Partial Shade;;Weekly;Leaf Miners, Spinach Blight
